asin	title	cat	subCat	imgUrl	related	salRank
1400532655	Barnes &amp; Noble Nook Color eReader	Electronics	eBook Readers	http://ecx.images-amazon.com/images/I/51lBXZsMsGL._SY300_.jpg	['B0069ZFYCY', 'B005HM8BRU', 'B004XKZ1UC', 'B007H564NS', 'B008I659JA', 'B008I64S4W', 'B00IKMJQ28', 'B005HBTCC4', 'B004WGKTRM', 'B004YW5406', 'B00IKML608', 'B0071U6Y2A', 'B007MY4K9E', 'B004D1OBFW', 'B00DXY3COG', '0594033926', 'B0071U6XDK', 'B007YDAAHO', 'B008RDQWQI', 'B005HM8BTI', 'B0079VOE3W', 'B009L3EKVW', 'B008I64R5W', 'B0071U6WYU', 'B0032UP32K', 'B007YDAB6O', '1400501784', 'B00AZR9YVO', '1400501466', 'B00620MJOM', 'B00AZRHYKW', 'B00AUKGBE4', 'B006L38YTY', 'B004N8PICA', 'B00502ZH6K', 'B00AUKH7C4', 'B00FAS7ASW', 'B0087UBS4M', 'B00CPV1RDG', '0594033896', 'B00DXY3B6K', 'B004C3KHSG', 'B0034ZPC7Y', 'B008I64SF6', 'B0069QPC0W', '140053271X', '1400698987', '1400532736', 'B004H6JO6E', 'B007YDAARE', '1400501776', 'B004XFZKLM', 'B008EZFFI0', 'B00EM3WGYY', 'B002BBJMO6', 'B0093W3B3O', 'B00B2ZAH0A', 'B00530GZC4', 'B00A7L668C', 'B00B97BC7S', 'B00BN1Q7DO', 'B004ZAA3YO', 'B004UGLBV2', 'B00AUKI6H4', 'B0034ZRAW4', 'B00AAKLIIS', 'B00AZR962G', 'B00BBO3VWI', 'B00CKWQHN0', 'B00AFXKID6', 'B00884BPUE', 'B00E9IAQ1C', 'B005HM8BRU', 'B007H564NS', '1400501784', '140053271X', 'B005HM8BRU', '1400501474']	3308
B000068O16	Hosa Cable CPR201 Dual 1/4 Inch To RCA Cable - 3.25 Foot	Electronics	RCA Cables	http://ecx.images-amazon.com/images/I/411aAwd3KtL._SX300_.jpg	['B005HGM1D6', 'B000068O1B', 'B000068O3S', 'B000KW2YEI', 'B000068O0W', 'B0023BYDHK', 'B000J5XS3C', 'B000J5UEGQ', 'B00181T20O', 'B000068O3B', 'B000068O1L', 'B000J5Y214', 'B000068O1C', 'B000068O1P', 'B000068O4W', 'B00B5SDFRG', 'B000V1RLI2', 'B000068NYH', 'B000068NTU', 'B000068O36', 'B000068O53', 'B000068O5D', 'B00B5S93OK', 'B000068O3W', 'B003JJQMD8', 'B000068O4H', 'B000068O3D', 'B000VJJQUU', 'B001UJEKZ6', 'B000068O54', 'B000068NYY', 'B00DUKP37C', 'B0001FTVD6', 'B0002E513U', 'B0010D0HO0', 'B0010K6TXQ', 'B001B850DM', 'B004TPDBGC', 'B004TM31QK', 'B000068O3T', 'B000979TV0', 'B000068O3V', 'B000068NYX', 'B0002GXF8Q', 'B000V1K7FG', 'B000E1U4WY', 'B000068NTZ', 'B001UJGNMO', 'B000068O1M', 'B000KUD2G4', 'B000VBASYQ', 'B001W3BM24', 'B001UNIT9A', 'B000068O59', 'B000H58HN0', 'B000068OEP', 'B0002E51CQ', 'B00EDRUQXC', 'B001JI2KHS', 'B000068O4Y', 'B000E1PXH0', 'B000068O4C', 'B000TLQQOO', 'B000J5Y282', 'B000068NYP', 'B004YEBK66', 'B0002D0B4K', 'B000068O40', 'B00005T3G5', 'B000068NXH', 'B00871VO5Y', 'B00E2UWM4Q', 'B00067JSM8', 'B00I2J4V5G', 'B000E1WDS2', 'B00DCP4O6Q', 'B000RWJQRE', 'B007POCJGC', 'B000E1S3OA', 'B0002GML68', 'B00HNKLN2Y', 'B000E0PPG0', 'B0007LCKPU', 'B000068NYT', 'B000RYE5Y6', 'B003YJQX1O', 'B0002GH8X4', 'B000068O1J', 'B000068NZK', 'B005FO1UDW', 'B0052FRYPW', 'B004TM323C', 'B000KIPT30', 'B000KU87SM', 'B004G87FLY', 'B000NJ2TIE', 'B00009W40D', 'B0002EKEHS', 'B002OQ04I6', 'B005HGM1D6', 'B000068O3S', 'B005HGM1D6', 'B000068O3S', 'B000068O1L', 'B000068O1B']	485
B000068O34	Hosa Cable CMS103 1/8 inch TRS to 1/4 Inch TRS Adapter Cable - 3 Foot	Electronics	Extension Cords	http://ecx.images-amazon.com/images/I/31yHhUWroYL._SX300_.jpg	['B000068O3T', 'B000KIPT30', 'B005HGM1D6', 'B006LRPF7Y', 'B000068O3D', 'B000068O3B', 'B0010CX798', 'B000068NYH', 'B003M8NVFS', 'B0002E51CQ', 'B000068O56', 'B000068O1M', 'B005IDWPJ8', 'B000068O1P', 'B000KGYAYQ', 'B000068O3S', 'B000068O17', 'B000068O1L', 'B000068O3I', 'B00BGDMIOG', 'B000068O1B', 'B0027V760M', 'B00CAKOVQM', 'B000E0PPG0', 'B003VGUGBS', 'B000068O1J', 'B000068NW5', 'B0010D0HO0', 'B000068O53', 'B000TTHVYK', 'B000K6B2DI', 'B000068O4W', 'B000VJJQUU', 'B004MEB4AK', 'B003JJQMD8', 'B000068O42', 'B004G87FLY', 'B000068NYY', 'B0009XH4HU', 'B00AIVIDT6', 'B001LTTP1E', 'B0009GYIL2', 'B00CAKSVTU', 'B000068O5D', 'B001CJ68KE', 'B001UJIYIK', 'B001JI2KHS', 'B000068NTU', 'B000NJ2TIE', 'B008O58FUA', 'B000068O4H', 'B003R70OA4', 'B000068O18', 'B000165DSM', 'B001RRJ1AK', 'B002UKZ99U', 'B000068O4I', 'B0062QPERU', 'B000RMQM4E', 'B004M8STL8', 'B0037GXRHM', 'B004HJ5JTC', 'B00CTKI10A', 'B001JYSMV0', 'B0002GXF8Q', 'B000KUD2G4', 'B000068O55', 'B0002E53O2', 'B0036UVRPS', 'B002KMR2IE', 'B00BE50BPO', 'B000068O1C', 'B000068NZG', 'B000E1WDS2', 'B0009EU01G', 'B001UJEKZ6', 'B000V1K7FG', 'B000068O6B', 'B000SL4656', 'B00CX6021Q', 'B001PGXIV6', 'B000CCIVI4', 'B00118Q8CE', 'B000E1S3OA', 'B0061OPQK8', 'B0002GML68', 'B000068OEP', 'B000J5UEGQ', 'B000068O4D', 'B005PNY2QK', 'B00BQOHLDI', 'B00DS1NI4I', 'B000CHJTG2', 'B000N5YEDG', 'B003W47NII', 'B00GNJ78LQ', 'B004LTEUDO', 'B0000AQRSR', 'B000068NYT', 'B000KUCQXY', 'B005HGM1D6', 'B000068O3B', 'B000068O3D', 'B005HGM1D6', 'B000068O3T', 'B000068NYH']	763
B0001MQUOC	Sony CR2025 Lithium Coin Battery	Electronics	Camcorder Batteries	http://ecx.images-amazon.com/images/I/51AXFJ53A5L._SY300_.jpg	['B00AKH33MU', 'B0001MQUOM', 'B0001MQUO2', 'B001D0E21Y', 'B00899Y1JK', 'B000BFFXO2', 'B0001MQUNS', 'B001C1WE0U', 'B00LPO4WTU', 'B000SOPG5C', 'B00092MWNM', 'B000923FOC', 'B00004YK1B', 'B0002DSVTC', 'B002E4UWWQ', 'B0002DSVRO', 'B00307H5FI', 'B003CST0JY', 'B001C1FXAS', 'B00005TQKQ', 'B0042A9UXC', 'B006GDL0FY', 'B000XLW1WG', 'B002E0DSBW', 'B00D6D93BU', 'B0014ATCU4', 'B001QF5YEA', '7884890364', 'B00166TT3G', 'B0002DSVOW', 'B005VEWAN0', 'B000FTEDMM', 'B0092HWU7S', 'B0001MQUOM', 'B0001MQUO2']	4374
B00062PN6I	Behringer HPM1000 Multi-Purpose Headphones	Electronics	Headphones	http://ecx.images-amazon.com/images/I/41Gx7Ck%2BmHL._SY300_.jpg	['B0002I5RI0', 'B0001IM95U', 'B000KIPT30', 'B003M8NVFS', 'B00005N9D3', 'B008AOH1O6', 'B000VJJQUU', 'B003CLIPHO', 'B0002Z82XA', 'B005ELS6HE', 'B0002EKEHS', 'B00CK2DM7Y', 'B000NUYW92', 'B000067RC4', 'B0087UPRMQ', 'B003VYBD58', 'B001JI2KHS', 'B008D94IG2', 'B0061ZFWDS', 'B0006H92QK', 'B00A6WRXPM', 'B000NJ2TIE', 'B0002GXF8Q', 'B000IKWBC2', 'B00GNJ78LQ', 'B000ULQTE0', 'B00BBF8RV2', 'B00AQTX2EG', 'B00000JBHP', 'B000CZ0RLK', 'B003GEBGA0', 'B00AK7SKL4', 'B00C86FA0E', 'B00475K64E', 'B000068O3T', 'B0010CTUW6', 'B0010CX798', 'B000J5XS3C', 'B00ACFAULC', 'B002OQ04I6', 'B000068O56', 'B005CERXFO', 'B00CTKI61Y', 'B000978D58', 'B00009WQSR', 'B0002CZW0Y', 'B00005T3GH', 'B000068NYH', 'B007257SE2', 'B00004T8R2', 'B005EHILV4', 'B005VLWHP4', 'B0050CEEIW', 'B0002E3FCO', 'B00ELPIYZS', 'B0007NQH98', 'B005HGM1D6', 'B0015V1H28', 'B000J5UEGQ', 'B0096EEUH0', 'B0002M3OVI', 'B004DNWVOI', 'B00EMSVG54', 'B005VEZ4LA', 'B00DYQYJ3Q', 'B0002KZAKS', 'B004WODP20', 'B00HL2ZR2Q', 'B002OE05L4', 'B004TS1J1I', 'B00778G534', 'B00063678K', 'B005DJOI8I', 'B007MHFMMU', 'B000068O3S', 'B0002E3CJ0', 'B003VGUGBS', 'B009UEBQIM', 'B00182CIB8', 'B00IFHCOUO', 'B002MAPT7U', 'B00K0RKB2K', 'B00GYM3DGQ', 'B00FEQ429U', 'B005CX4GLE', 'B0002I5RI0', 'B0002I5RI0', 'B004WODP20', 'B0002Z82XA', 'B00012F7G4']	146
B000ABB4HC	Pedco UltraClamp Assembly for Cameras, Scopes and Binoculars	Electronics	Camera Mounts & Clamps	http://ecx.images-amazon.com/images/I/41A6ZwOFZOL._SY300_.jpg	['B001CWF8ES', 'B00K223KQ2', 'B00E5M39AW', 'B00CRY40MQ', 'B006RKF1X8', 'B00CBO14FI', 'B00CBNZC2K', 'B00AM2R4Y6', 'B002RCLYXG', 'B00F19Q7AC', 'B000KNNRHA', 'B007LTH1X2', 'B00DJ5XH4O', 'B009SU0JC2', 'B0023ZK2TY', 'B002EF2200', 'B00B5VAJYU', 'B00HC021IK', 'B00AAIPT76', 'B00355GFMO', 'B000L47AHG', 'B00AHCUNG2', 'B00585CLVS', 'B00AMXMV3O', 'B007IREG0I', 'B0062U2M4E', 'B00FS5L9D4', 'B002K8Q0EU', 'B008JGZMZK', 'B00F3F0GLU', 'B00G87KVDA', 'B007T2VFI8', 'B000IDCDZY', 'B000ANCPNM', 'B006R38IJY', 'B009QXFFYS', 'B000246ST6', 'B00I2VIR2M', 'B008OLGKLU', 'B000OPWSYM', 'B0018LQVIA', 'B005DMYRRC', 'B007PKGEU8', 'B009QZH6JS', 'B00AUKBUHW', 'B00F19Q2R0', 'B003JN7API', 'B00H7QM5LC', 'B0084MTJ0I', 'B006N5B9BK', 'B00HRSBTNA', 'B000RTWBG0', 'B00EAZSBZC', 'B000MF4I7O', 'B00GLKXQ22', 'B00585CLXG', 'B009GLW1PG', 'B0059X0YIQ', 'B00EVIBMR2', 'B00B0GSADW', 'B00CBNXQPU', 'B001ASU1QO', 'B00A3MY7L8', 'B003P9VN86', 'B000QU3JN4', 'B00G970GX4', 'B00CICNXGG', 'B00HEXSKGC', 'B006FGKUUI', 'B00F19Q7YI', 'B0062TVHBE', 'B00C9LE7NO', 'B00CSMCPKQ', 'B001GWCC4I', 'B00EA1EODE', 'B00HNJWTDW', 'B00GO4GKXM', 'B000YK9R0K', 'B00DM1BDPK', 'B00BQ9GMPG', 'B00ANEFZFI', 'B007RBME2M', 'B00ABWYFG2', 'B0019CSVMW', 'B00F23HCVU', 'B000VA4CK8', 'B00FRHTXW2', 'B005CMP2ZO', 'B00GWBZXEE', 'B00IS3N6ES', 'B00B94U3L2', 'B00554PCDG', 'B009PK9QGU', 'B00I01JQJM', 'B0002F4N0Q', 'B002PAX9QU', 'B0000AUR22', 'B00F19Q7AC', 'B00AAIPT76']	4815
B000ANGNN0	Pedco UltraPod Lightweight Camera Tripod	Electronics	Complete Tripods	http://ecx.images-amazon.com/images/I/31mpY4vVYLL._SX300_.jpg	['B0027UVTQA', 'B00008W2LC', 'B001QWBM62', 'B000234HVS', 'B000ANCPNM', 'B003ITCFT4', 'B001FOV2KW', 'B00F8U7TL0', 'B00F19Q7AC', 'B0039BPG1A', 'B00004Z5CP', 'B00C7J5ZC0', 'B008O6R5ZK', 'B004NMNHVK', 'B007JRB0TC', 'B00DEH62QC', 'B005HY4U5A', 'B00F5JH9FU', 'B003VNKNF0', 'B0017JHU10', 'B002HOPUPC', 'B002CWQTXG', 'B00CQVKSK8', 'B008XTZBKO', 'B00EIHUUR4', 'B00AY2PSZQ', 'B0024LZQ8E', 'B00CFCTDMC', 'B0093YA7D4', 'B00GNRFWZW', 'B00CXGF84M', 'B004URTJ6U', 'B00CHPQ2IA', 'B0098G9LHU', 'B004OHHKSU', 'B009GZMFQW', 'B00AJIZBWA', 'B008SFPMRK', 'B0001TSSNQ', 'B00IAZWWDA', 'B00DUFRIG6', 'B002RCLYXG', 'B001KW1VEQ', 'B00AAKERD6', 'B003EM8008', 'B006W1J3OK', 'B009GHYLKS', 'B004NRM3VA', 'B005LY5CWG', 'B00B7ID99I', 'B003ES61EE', 'B00137NMMW', 'B00FHRADQ2', 'B009UOIAEU', 'B0000BZL2Y', 'B0015ZFMG6', 'B008VI7ORA', 'B00E259GQI', 'B0028Y5GLO', 'B00009W3TY', 'B00DQHZZ0O', 'B0057Z7TB6', 'B002VPE1QG', 'B000H02B6O', 'B009QZH7BU', 'B0014BLUSU', 'B007Y4NWQE', 'B000L47AHG', 'B009B0MYSQ', 'B0067EMCVI', 'B0000BZL7S', 'B00E5M39AW', 'B004ZGN6MY', 'B00IRZMYN6', 'B00I58M26Y', 'B00F0SMYC4', 'B007TMYRVA', 'B004QJOZS4', 'B00JNNY1P0', 'B00D2CSIUW', 'B005D2JE2A', 'B00I2VIR2M', 'B006ZZXVCI', '1285429966', 'B00B7ID97A', 'B0080JH3YE', 'B0035LBRM6', '1742202128', 'B004TJ6JH6', 'B0040RDT0M', 'B00FS5L9D4', 'B007M54E1M', 'B0049XEE88', 'B008OM1JTW', 'B000EFIJTA', 'B000165O18', 'B006CG2TZU', 'B009D79VH4', 'B00HIKBW1G', 'B000ANCPNM', 'B00F19Q7AC']	7493
B000FI9VU2	Platinum Tools 100010C EZ-RJ45 Cat 6+ Connectors, Clamshell, 50-Pieces	Electronics	Ethernet Cables	http://ecx.images-amazon.com/images/I/41jjLiPUwkL._SY300_.jpg	['B00939KFOU', 'B00939KKX6', 'B0049KV52E', 'B00084Y1ZI', 'B002PI4BV4', 'B00846HLJU', 'B000P1OA1O', 'B000FI2RVC', 'B004D5PFGW', 'B0000AZK4G', 'B004HN81SE', 'B0000AZK4D', 'B004KPGPXW', 'B0000AZK08', 'B006IKH0EA', 'B0000AZK72', 'B0034B3KYU', 'B00AWPYG4O', 'B005FMX8CU', 'B001AZLS6Y', 'B006IKHLJE', 'B003JQL0S8', 'B000HRWOTQ', 'B00GY9M1V2', 'B00788LVZA', 'B00CA2X5W6', 'B000O7AKJU', 'B0009ZD9FY', 'B00A20KO18', 'B0049QNV3E', 'B002YGSDI4', 'B00IO3HEN6', 'B00GFZH4SU', 'B000I21Z5E', 'B00ISA2WPU', 'B004FWJ2YO', 'B000RATBWQ', 'B006IKGNQ6', 'B000BSJJ1M', 'B003ZUQSUI', 'B006IKH0MM', 'B0072JVU8S', 'B00CXU1NHY', 'B0007OGTGS', 'B00CH4EVY8', 'B00DNKM6G0', 'B006IKH2FC', 'B006IKH58G', 'B0072K1QHM', 'B00BJP0LUE', 'B00CJWU8UE', 'B0058TZDGY', 'B00KCX6WDE', 'B0000AZK4C', 'B000KMFDZ0', 'B00BS92DCK', 'B00H9P7PIE', 'B000I20B86', 'B002D3B97U', 'B00AWQ13R6', 'B0072K1OWY', 'B00004Z8HC', 'B005SCYK6A', 'B0072JVRUE', 'B00I3GKM06', 'B00EQ5SQM4', 'B0000BVYT3', 'B005YHOWF8', 'B003099HOI', 'B004HN7KNG', 'B003N3DU3K', 'B008X3JHJQ', 'B0002JSZ9M', 'B0018BL0PO', 'B000LDEXNG', 'B0000AZK4F', 'B000I23UMU', 'B003O84ZWY', 'B008VIH63M', 'B00CA2V7I0', 'B00E4OCOUW', 'B0066DV06I', 'B002PIAAUU', 'B00CPRVF5K', 'B001QUA6RA', 'B0009JCVI6', 'B008VK2XXS', 'B008G8KE90', 'B00G6ZH8DK', 'B0089QB1SC', 'B00006RVPW', 'B003BU0EKW', 'B00F6K5SY2', 'B00CXTK90W', 'B0001DYUIY', 'B008I8AIXK', 'B00004Z2K4', 'B0001FTVD6', 'B004CIBQ4K', 'B00939KFOU', 'B00939KKX6', 'B000P1OA1O', 'B0000AZK4G', 'B00BS92DCK', 'B0049KV52E']	327
B000KUQ8FG	7-Port USB 2.0 Hub, Black	Electronics	Hubs	http://ecx.images-amazon.com/images/I/41gsW5bhatL._SY300_.jpg	['B003MTTJOY', 'B001TH7GUU', 'B0038P1TP4', 'B009SQQF9C', 'B001MSZBNA', 'B00483WRZ6', 'B004SH5VQ4', 'B001MSU1FS', 'B008TCUXLW', 'B004AGX4YO', 'B004OBZ1XM', 'B001TH7GV4', 'B00008VFAF', 'B006ZZUK5Y', 'B000M2TAN4', 'B003VNKNEG', 'B003XN24GY', 'B00467PGL6', 'B001TH7T2U', 'B001E1Y5O6', 'B005DKZTMG', 'B00834SJU8', 'B001MSU1HG', 'B0057OC5O8', 'B003M0NURK', 'B00CUJT7TO', 'B003UE52ME', 'B00A42HTLC', 'B001MS6R60', 'B008ZGKWQI', 'B000Q8UAWY', 'B005NGQWL2', 'B000CRFOMK', 'B00C8NNZ36', 'B003B4BBFK', 'B003Z4G3I6', 'B003ES5ZSW', 'B001QUA6RA', 'B001TH7GUK', 'B004OR0V2C', 'B009NHAEXE', 'B008LTBJFW', 'B004S4R5CK', 'B000I20AJ6', 'B00AZLA9VY', 'B0019804U8', 'B0088PUEPK', 'B000N99BBC', 'B006Y5UV4A', 'B004RORMF6', 'B003ELVLKU', 'B008TDBIDI', 'B005DLDTAE', 'B0000BVYT3', 'B00CHYOLHK', 'B0046TJG1U', 'B0000AZK4G', 'B000JE9LD4', 'B003BHHIA4', 'B0091XIUKY', 'B001W28L2Y', 'B000F5K82A', 'B00224ZDFY', 'B009LS0XOK', 'B005HMKKH4', 'B005T3GRLY', 'B00182CIB8', 'B000J2EN4S', 'B000FBK3QK', 'B000P1OA1O', 'B004CAHTCQ', 'B003NR57BY', 'B00829THQE', 'B009SYZ8OC', 'B00007FGU7', 'B004SUO1R6', 'B00B7FOQCK', 'B000ID7QNI', 'B001NS0OZ4', 'B003L1ZYYM', 'B001TH7GUU', 'B003Z4G3I6', 'B00483WRZ6', 'B00DQFGJR4', 'B00008VFAF']	3928
B000NLSGA2	Otterbox [Defender Series] Samsung Galaxy S5 Case - Retail Packaging Protective Case for Galaxy S5  - Neon Rose (Whisper White/Blaze Pink)	Electronics	Basic Cases	http://ecx.images-amazon.com/images/I/41EsDA-fZHL._SY300_.jpg	['B00CMDYV0S', 'B00J9AFQ38', 'B00G7UY3EG', 'B00J3B1XPI', 'B00INDU3IU', 'B00I9K40F4', 'B00JMXDT7W', 'B00K88I6UK', 'B00IMU39IK', 'B00IPGW2DY', 'B00IZ1X21K', 'B00ESYW40S', 'B00BCUNH2U', 'B00JSAJX4C', 'B00IZ1Y2XM', 'B00IPGVZVE', 'B00K88OB9K', 'B00ISGCDC6', 'B00IT67MCQ', 'B00FZN2ISY', 'B00IPGVYII', 'B00IB6ZG9K', 'B00IICJRQ0', 'B00IPGVZU0', 'B00F9VROUE', 'B009QZH7BU', 'B00ICMW0RY', 'B00IPGW0ZE', 'B009RYX94E', 'B00F9VRNJ6', 'B00GDFAL5U', 'B00I8FRK02', 'B00KB90GD6', 'B00IYWQQ4U', 'B00H5I8MNM', 'B00J0R61I4', 'B00H03DK2A', 'B00JJ5H33Y', 'B00JPMQN1Y', 'B00C96CMDG', 'B00IYWQNXO', 'B00ISZ0AFO', 'B00I9K3ZQ4', 'B00F3SIW18', 'B00AVWKUJI', 'B00CMDYV0S', 'B00KN1NCQ0']	15295
